token,symbol,name,exch_seg,clean_symbol
12101,HDFCNIFIT-EQ,HDFCNIFIT,NSE,HDFCNIFIT
12578,FINIETF-EQ,FINIETF,NSE,FINIETF
12716,TEAMLEASE-EQ,TEAMLEASE,NSE,TEAMLEASE
13035,SAFARI-EQ,SAFARI,NSE,SAFARI
13106,NAHARINDUS-EQ,NAHARINDUS,NSE,NAHARINDUS
13111,ORIENTCER-EQ,ORIENTCER,NSE,ORIENTCER
13139,EBBETF0433-EQ,EBBETF0433,NSE,EBBETF0433
13175,NITINSPIN-EQ,NITINSPIN,NSE,NITINSPIN
13295,VISASTEEL-EQ,VISASTEEL,NSE,VISASTEEL
13332,SOLARINDS-EQ,SOLARINDS,NSE,SOLARINDS
13381,KKCL-EQ,KKCL,NSE,KKCL
13496,PFOCUS-EQ,PFOCUS,NSE,PFOCUS
13536,VIDHIING-EQ,VIDHIING,NSE,VIDHIING
13577,VOLTAMP-EQ,VOLTAMP,NSE,VOLTAMP
13656,ALICON-EQ,ALICON,NSE,ALICON
13702,VISHWARAJ-EQ,VISHWARAJ,NSE,VISHWARAJ
1372,HINDCOMPOS-EQ,HINDCOMPOS,NSE,HINDCOMPOS
13750,FLUOROCHEM-EQ,FLUOROCHEM,NSE,FLUOROCHEM
13751,NAUKRI-EQ,NAUKRI,NSE,NAUKRI
13771,VGL-EQ,VGL,NSE,VGL
13810,GREENPANEL-EQ,GREENPANEL,NSE,GREENPANEL
13890,HIRECT-EQ,HIRECT,NSE,HIRECT
1394,HINDUNILVR-EQ,HINDUNILVR,NSE,HINDUNILVR
1403,HINDOILEXP-EQ,HINDOILEXP,NSE,HINDOILEXP
14086,IGPL-EQ,IGPL,NSE,IGPL
14096,SIYSIL-EQ,SIYSIL,NSE,SIYSIL
14180,NSLNISP-EQ,NSLNISP,NSE,NSLNISP
14239,HBS500INAV-EQ,HBS500INAV,NSE,HBS500INAV
14255,REDINGTON-EQ,REDINGTON,NSE,REDINGTON
14480,GOKULAGRO-EQ,GOKULAGRO,NSE,GOKULAGRO
14597,ALPHAGEO-EQ,ALPHAGEO,NSE,ALPHAGEO
1467,AKZOINDIA-EQ,AKZOINDIA,NSE,AKZOINDIA
14742,AXSENSEX-EQ,AXSENSEX,NSE,AXSENSEX
14758,051NSETEST-EQ,051NSETEST,NSE,051NSETEST
14774,111NSETEST-EQ,111NSETEST,NSE,111NSETEST
14778,131NSETEST-EQ,131NSETEST,NSE,131NSETEST
14838,DECCANCE-EQ,DECCANCE,NSE,DECCANCE
14922,PURVA-EQ,PURVA,NSE,PURVA
14942,NAGREEKCAP-EQ,NAGREEKCAP,NSE,NAGREEKCAP
1497,SHIVAMILLS-EQ,SHIVAMILLS,NSE,SHIVAMILLS
14972,KSCL-EQ,KSCL,NSE,KSCL
14977,POWERGRID-EQ,POWERGRID,NSE,POWERGRID
14992,CCCL-EQ,CCCL,NSE,CCCL
15032,PSUBNKBEES-EQ,PSUBNKBEES,NSE,PSUBNKBEES
